machoz,Year-Month,Date,very high,high,medium,low,very low,dont know,feel_safe
Center,2023-10,2023-10-22 12:00:00,3.2,23.25,42.85,16.6,13.75,0.35,26.45
Center,2023-11,2023-11-13 16:00:00,4.367,25.4,48.067,12.5,8.667,1.0,29.767
Center,2023-12,2023-12-21 00:00:00,4.1,29.833,48.0,12.133,5.167,0.833,33.933
Center,2024-02,2024-02-24 00:00:00,5.0,16.4,52.7,19.7,3.2,2.9,21.4
Center,2024-03,2024-03-01 00:00:00,2.8,22.9,43.9,18.7,9.9,1.9,25.7
Center,2024-04,2024-04-01 00:00:00,2.7,19.5,48.2,18.7,10.3,0.5,22.2
Center,2024-05,2024-05-01 00:00:00,2.7,21.9,43.8,23.8,7.2,0.7,24.6
Center,2024-06,2024-06-01 00:00:00,3.1,27.2,46.8,15.8,6.2,1.0,30.3
Center,2024-08,2024-08-07 00:00:00,7.9,14.6,46.9,18.5,8.3,3.9,22.5
Center,2024-09,2024-09-12 00:00:00,2.9,16.7,55.0,14.6,9.6,1.3,19.6
Center,2024-10,2024-10-10 00:00:00,2.9,24.0,46.3,15.3,10.7,0.8,26.9
Center,2024-11,2024-11-07 00:00:00,5.0,20.2,50.0,16.5,7.9,0.4,25.2
Haifa,2023-10,2023-10-22 12:00:00,5.55,26.3,34.25,17.35,14.2,2.3,31.85
Haifa,2023-11,2023-11-13 16:00:00,6.133,27.767,44.6,15.233,5.3,1.0,33.9
Haifa,2023-12,2023-12-21 00:00:00,7.467,28.8,42.233,13.433,7.433,0.567,36.267
Haifa,2024-02,2024-02-24 00:00:00,4.6,19.2,48.1,19.7,7.1,1.2,23.8
Haifa,2024-03,2024-03-01 00:00:00,0.0,26.5,57.7,13.0,1.3,1.4,26.5
Haifa,2024-04,2024-04-01 00:00:00,4.5,23.1,45.6,15.8,6.0,4.9,27.6
Haifa,2024-05,2024-05-01 00:00:00,5.3,16.8,51.6,17.1,9.2,0.0,22.1
Haifa,2024-06,2024-06-01 00:00:00,3.7,21.5,45.0,18.2,8.6,3.0,25.2
Haifa,2024-08,2024-08-07 00:00:00,5.6,13.5,44.4,17.5,17.5,1.6,19.1
Haifa,2024-09,2024-09-12 00:00:00,2.5,17.3,46.9,23.5,9.9,0.0,19.8
Haifa,2024-10,2024-10-10 00:00:00,11.1,30.9,37.0,14.8,4.9,1.2,42.0
Haifa,2024-11,2024-11-07 00:00:00,5.0,30.0,41.3,18.8,5.0,0.0,35.0
Jerusalem,2023-10,2023-10-22 12:00:00,5.35,23.95,37.0,21.65,10.1,1.95,29.3
Jerusalem,2023-11,2023-11-13 16:00:00,6.033,24.1,49.933,12.4,6.5,0.967,30.133
Jerusalem,2023-12,2023-12-21 00:00:00,3.067,30.967,49.667,12.433,2.667,1.233,34.033
Jerusalem,2024-02,2024-02-24 00:00:00,0.0,25.8,53.2,15.1,5.8,0.0,25.8
Jerusalem,2024-03,2024-03-01 00:00:00,1.6,40.2,46.9,5.5,5.9,0.0,41.8
Jerusalem,2024-04,2024-04-01 00:00:00,3.7,29.4,47.3,13.1,6.5,0.0,33.1
Jerusalem,2024-05,2024-05-01 00:00:00,3.6,29.5,36.7,18.3,11.9,0.0,33.1
Jerusalem,2024-06,2024-06-01 00:00:00,6.8,20.7,49.6,14.4,7.5,1.0,27.5
Jerusalem,2024-08,2024-08-07 00:00:00,7.6,30.4,43.0,7.6,8.9,2.5,38.0
Jerusalem,2024-09,2024-09-12 00:00:00,7.6,24.1,44.3,11.4,11.4,1.3,31.7
Jerusalem,2024-10,2024-10-10 00:00:00,7.4,28.4,46.9,11.1,6.2,0.0,35.8
Jerusalem,2024-11,2024-11-07 00:00:00,7.5,28.8,36.3,16.3,8.8,2.5,36.3
Judea and Samaria,2023-10,2023-10-22 12:00:00,1.5,25.2,44.0,18.85,10.45,0.0,26.7
Judea and Samaria,2023-11,2023-11-13 16:00:00,2.367,32.6,43.733,10.733,9.0,1.567,34.967
Judea and Samaria,2023-12,2023-12-21 00:00:00,2.467,31.867,46.3,11.733,5.8,1.833,34.333
Judea and Samaria,2024-02,2024-02-24 00:00:00,6.9,29.0,48.5,9.3,3.8,2.4,35.9
Judea and Samaria,2024-03,2024-03-01 00:00:00,4.2,31.3,40.1,24.4,0.0,0.0,35.5
Judea and Samaria,2024-04,2024-04-01 00:00:00,9.3,17.1,45.7,19.8,8.1,0.0,26.4
Judea and Samaria,2024-05,2024-05-01 00:00:00,3.9,50.7,30.2,10.0,5.1,0.0,54.6
Judea and Samaria,2024-06,2024-06-01 00:00:00,3.2,29.2,42.9,8.8,9.9,6.1,32.4
Judea and Samaria,2024-08,2024-08-07 00:00:00,4.2,8.3,54.2,16.7,12.5,4.2,12.5
Judea and Samaria,2024-09,2024-09-12 00:00:00,,27.3,50.0,18.2,4.5,0.0,
Judea and Samaria,2024-10,2024-10-10 00:00:00,12.5,33.3,45.8,4.2,4.2,0.0,45.8
Judea and Samaria,2024-11,2024-11-07 00:00:00,30.4,17.4,34.8,13.0,0.0,4.3,47.8
North,2023-10,2023-10-22 12:00:00,6.2,22.3,43.3,15.05,10.85,2.35,28.5
North,2023-11,2023-11-13 16:00:00,9.3,22.767,50.567,13.967,2.467,0.9,32.067
North,2023-12,2023-12-21 00:00:00,9.1,25.8,47.733,11.8,4.3,1.333,34.9
North,2024-02,2024-02-24 00:00:00,10.1,20.1,47.6,18.5,3.7,0.0,30.2
North,2024-03,2024-03-01 00:00:00,9.8,17.5,63.6,7.1,2.0,0.0,27.3
North,2024-04,2024-04-01 00:00:00,6.2,22.7,49.5,11.0,10.7,0.0,28.9
North,2024-05,2024-05-01 00:00:00,6.1,25.4,45.0,8.8,14.7,0.0,31.5
North,2024-06,2024-06-01 00:00:00,4.8,25.0,40.0,19.8,9.4,1.0,29.8
North,2024-08,2024-08-07 00:00:00,2.1,14.9,33.0,26.1,16.5,7.4,17.0
North,2024-09,2024-09-12 00:00:00,3.4,22.5,50.6,14.6,9.0,0.0,25.9
North,2024-10,2024-10-10 00:00:00,3.5,27.9,41.9,16.3,10.5,0.0,31.4
North,2024-11,2024-11-07 00:00:00,5.6,20.2,44.9,21.3,7.9,0.0,25.8
South,2023-10,2023-10-22 12:00:00,2.5,25.6,33.7,17.75,19.25,1.15,28.1
South,2023-11,2023-11-13 16:00:00,8.4,25.2,47.767,10.6,7.4,0.667,33.6
South,2023-12,2023-12-21 00:00:00,5.6,27.667,45.667,11.9,7.467,1.633,33.267
South,2024-02,2024-02-24 00:00:00,2.3,32.2,40.1,10.6,12.5,2.3,34.5
South,2024-03,2024-03-01 00:00:00,7.0,23.2,53.8,10.4,5.6,0.0,30.2
South,2024-04,2024-04-01 00:00:00,2.3,14.7,55.5,16.8,8.8,1.9,17.0
South,2024-05,2024-05-01 00:00:00,5.9,23.1,40.0,21.2,8.7,1.1,29.0
South,2024-06,2024-06-01 00:00:00,6.9,20.4,53.5,11.8,6.8,0.6,27.3
South,2024-08,2024-08-07 00:00:00,6.2,20.0,42.3,14.6,10.8,6.2,26.2
South,2024-09,2024-09-12 00:00:00,4.4,23.9,42.5,16.8,11.5,0.9,28.3
South,2024-10,2024-10-10 00:00:00,6.2,26.5,44.2,15.9,7.1,0.0,32.7
South,2024-11,2024-11-07 00:00:00,1.8,35.8,39.4,11.9,9.2,1.8,37.6
Tel-Aviv,2023-10,2023-10-22 12:00:00,3.3,17.15,43.4,20.35,15.85,0.0,20.45
Tel-Aviv,2023-11,2023-11-13 16:00:00,7.367,23.1,42.067,15.7,10.933,0.833,30.467
Tel-Aviv,2023-12,2023-12-21 00:00:00,4.8,25.2,50.233,11.967,6.333,1.467,30.0
Tel-Aviv,2024-02,2024-02-24 00:00:00,6.2,18.9,44.4,24.1,5.5,0.9,25.1
Tel-Aviv,2024-03,2024-03-01 00:00:00,3.6,27.8,44.4,15.9,8.3,0.0,31.4
Tel-Aviv,2024-04,2024-04-01 00:00:00,3.7,18.0,49.4,16.2,8.9,3.8,21.7
Tel-Aviv,2024-05,2024-05-01 00:00:00,3.4,19.1,49.3,14.0,13.3,0.9,22.5
Tel-Aviv,2024-06,2024-06-01 00:00:00,5.3,23.1,40.4,16.8,11.4,3.1,28.4
Tel-Aviv,2024-08,2024-08-07 00:00:00,5.8,22.2,49.7,14.0,7.6,0.6,28.0
Tel-Aviv,2024-09,2024-09-12 00:00:00,4.5,21.6,43.2,15.3,13.6,1.7,26.1
Tel-Aviv,2024-10,2024-10-10 00:00:00,7.3,22.5,42.1,12.9,14.6,0.6,29.8
Tel-Aviv,2024-11,2024-11-07 00:00:00,4.5,22.6,42.9,18.6,9.6,1.7,27.1
