data,Year-Month,outLat,outLong,count
 Bet,2023-10,32.05095,34.807608,30
 Bet,2023-11,32.05095,34.807608,6
 Bet,2023-12,32.05095,34.807608,8
 Bet,2024-01,32.05095,34.807608,1
 Bet,2024-03,32.05095,34.807608,1
 Bet,2024-12,32.05095,34.807608,2
 Dalet,2023-10,32.0548323,34.8054171,30
 Dalet,2023-11,32.0548323,34.8054171,6
 Dalet,2023-12,32.0548323,34.8054171,8
 Dalet,2024-01,32.0548323,34.8054171,1
 Dalet,2024-03,32.0548323,34.8054171,1
 Dalet,2024-12,32.0548323,34.8054171,2
 Duga,2024-09,32.8547735,35.6469053,2
 Duga,2024-10,32.8547735,35.6469053,1
 Dugit Beach,2024-09,32.8500228,35.6484147,2
 Dugit Beach,2024-10,32.8500228,35.6484147,1
 Ein Harod ,2024-09,32.556806,35.392995,1
 Ein Harod ,2024-10,32.556806,35.392995,2
 El-Mask,2024-04,31.046051,34.851612,1
 El-Mask,2024-10,31.046051,34.851612,3
 El-Mask,2024-11,31.046051,34.851612,1
 Giv'on HaHadasha,2024-10,31.848896,35.159029,4
 Giv'on HaHadasha,2025-01,31.848896,35.159029,1
 Givolim,2023-10,31.397604,34.593821,15
 Givolim,2024-01,31.397604,34.593821,1
 Givolim,2024-10,31.397604,34.593821,2
 Givolim,2025-01,31.397604,34.593821,1
 Hadar and Downtown Lower City,2024-09,32.808252,34.997326,3
 Hadar and Downtown Lower City,2024-10,32.808252,34.997326,20
 Hadar and Downtown Lower City,2024-11,32.808252,34.997326,14
 Halukim Beach,2024-09,32.8167214,35.644915,2
 Halukim Beach,2024-10,32.8167214,35.644915,3
 Heh,2023-10,31.046051,34.851612,30
 Heh,2023-11,31.046051,34.851612,6
 Heh,2023-12,31.046051,34.851612,8
 Heh,2024-01,31.046051,34.851612,1
 Heh,2024-03,31.046051,34.851612,1
 Heh,2024-12,31.046051,34.851612,2
 Ivim,2024-10,31.046051,34.851612,7
 Ivim,2024-11,31.046051,34.851612,2
 Ivim,2024-12,31.046051,34.851612,4
 Ivim,2025-01,31.046051,34.851612,5
 Karmei Gat,2023-10,31.627087,34.765774,9
 Karmei Gat,2024-10,31.627087,34.765774,1
 Lavnun,2024-09,32.8207194,35.644915,2
 Lavnun,2024-10,32.8207194,35.644915,3
 Melilot,2023-10,31.389897,34.595243,15
 Melilot,2024-01,31.389897,34.595243,1
 Melilot,2024-10,31.389897,34.595243,2
 Melilot,2025-01,31.389897,34.595243,1
 Nir Am,2024-10,31.518459,34.580544,7
 Nir Am,2024-11,31.518459,34.580544,2
 Nir Am,2024-12,31.518459,34.580544,4
 Nir Am,2025-01,31.518459,34.580544,5
 Peki'in HaHadasha,2024-09,32.982195,35.323408,3
 Peki'in HaHadasha,2024-10,32.982195,35.323408,15
 Peki'in HaHadasha,2024-11,32.982195,35.323408,6
 Regional Council Gezer,2024-09,31.6980299,34.7084325,3
 Regional Council Gezer,2024-10,31.6980299,34.7084325,2
 Regional Council Gezer,2024-11,31.6980299,34.7084325,1
 Regional Council Gezer,2024-12,31.6980299,34.7084325,6
 Regional Council Gezer,2025-01,31.6980299,34.7084325,1
 Regional Council Hevel Modi'in Industrial Park,2024-09,31.9759381,34.9538384,3
 Regional Council Hevel Modi'in Industrial Park,2024-10,31.9759381,34.9538384,2
 Regional Council Hevel Modi'in Industrial Park,2024-11,31.9759381,34.9538384,1
 Regional Council Hevel Modi'in Industrial Park,2024-12,31.9759381,34.9538384,6
 Regional Council Hevel Modi'in Industrial Park,2025-01,31.9759381,34.9538384,1
 Sapir College,2023-10,31.5090643,34.5944391,24
 Sapir College,2023-11,31.5090643,34.5944391,4
 Sapir College,2023-12,31.5090643,34.5944391,6
 Sapir College,2024-03,31.5090643,34.5944391,1
 Sapir College,2024-04,31.5090643,34.5944391,2
 Sapir College,2024-05,31.5090643,34.5944391,4
 Sapir College,2024-07,31.5090643,34.5944391,1
 Sapir College,2024-10,31.5090643,34.5944391,5
 Sapir College,2024-12,31.5090643,34.5944391,5
 Te*,2023-10,31.046051,34.851612,35
 Te*,2023-11,31.046051,34.851612,9
 Te*,2023-12,31.046051,34.851612,5
 Te*,2024-01,31.046051,34.851612,1
 Te*,2024-03,31.046051,34.851612,1
 Tet,2023-10,32.051976,34.80224,35
 Tet,2023-11,32.051976,34.80224,9
 Tet,2023-12,32.051976,34.80224,5
 Tet,2024-01,32.051976,34.80224,1
 Tet,2024-03,32.051976,34.80224,1
 Tzeelon Beach,2024-09,31.3021154,34.6186733,1
